id,url,name,demo_link,price_starting,type,logo_url,screenshot_url,color_tint,cookie_based,hosting,open_source,tags,analysis_level,features,privacy_friendly,pricing,pricing_tier_dims
d4b35eb6bb7b4aa481f2c7a0517ba1c0,https://pirsch.io/,Pirsch,https://pirsch.pirsch.io/?domain=pirsch.io&interval=7d,5,web analytics,/images/tools/pirsch.svg,/images/screenshots/pirsch.svg,gray,No,cloud,Yes,"cloud hosted, no cookies, open source",simple,basic web analytics,Yes,monthly,page views
8da03d87456d4fbf83306a1185c6e0aa,https://appmetrix.com/,Appmetrix,,0,web analytics,/images/tools/appmetrix.svg,/images/screenshots/appmetrix.png,sky,No,cloud,No,"cloud hosted, no cookies",medium,basic web analytics,Yes,monthly,page views
79a4f7cb436d49daa7cd7c0d0835cfd8,https://counter.dev/,Counter.dev,https://counter.dev/dashboard.html?demo=1,0,web analytics,/images/tools/counterdev.svg,,rose,No,cloud,No,cloud hosted,simple,basic web analytics,Yes,free,
11efff9977fe4cde8fbc51d379ad8d01,https://umami.is/,Umami,https://app.umami.is/share/8rmHaheU/umami.is,0,web analytics,/images/tools/umami.svg,/images/screenshots/umami.png,blue,No,self,Yes,"no cookies, open source, self hosted only",simple,"basic web analytics, data export",Yes,free,
a9e60e58f3904e2fb9a24832800e5bb9,https://howuku.com/,Howuku,,20,all-round analytics,/images/tools/howuku.svg,,blue,Yes,cloud,No,"cloud hosted, cookie based",medium,"a/b-testing, basic web analytics, funnels, heatmaps",No,monthly,"data retention, page views, user licences"
470161b7f2ac4e338f02aa9f7370a9e7,https://www.crazyegg.com/,CrazyEgg,https://core.crazyegg.com/snapshots?demo=1&page=1&site=quicksprout.com,24,all-round analytics,/images/tools/crazyegg.svg,,lime,Yes,cloud,No,"cloud hosted, cookie based",simple,"a/b-testing, basic web analytics, funnels, heatmaps, website recordings",No,monthly,"data retention, page views"
f5fd1c4c57ff49bd806fba31f3191705,https://github.com/milesmcc/shynet#installation,Shynet,,0,web analytics,/images/tools/shynet.png,/images/screenshots/shynet.png,violet,No,self,Yes,"no cookies, open source, self hosted only",simple,basic web analytics,Yes,free,
67301b4bd4fc4583b2ec7684ff8bd656,https://plausible.io/,Plausible,https://plausible.io/plausible.io,9,web analytics,/images/tools/plausible.png,/images/screenshots/plausible.png,indigo,No,both,Yes,"cloud hosted, no cookies, open source, self hosted",simple,"basic web analytics, data export",Yes,monthly,page views
15fca11fc8a94a1894e6949d89d5f5eb,https://simpleanalytics.com/,Simpleanalytics,https://simpleanalytics.com/simpleanalytics.com,19,web analytics,/images/tools/simpleanalytics.svg,,rose,No,cloud,No,"cloud hosted, no cookies",simple,"basic web analytics, data export",Yes,monthly,page views
541ee8017bc84206bbeceb8488f66e46,https://hockeystack.com/,Hockeystack,https://hockeystack.com/live-demo/,0,product analytics,/images/tools/hockeystack.png,,cyan,No,cloud,No,"cloud hosted, no cookies",simple,"basic web analytics, funnels, user profiles",No,monthly,"data retention, page views, user licences"
